Battles,RollingWin,OverallWin,Epsilon,Speed,AvgReward,TableSize
1000,0.0220,0.0220,0.9620,8.5,-0.9566,133193
2000,0.0300,0.0260,0.9240,8.5,-0.9400,251874
3000,0.0340,0.0287,0.8860,8.5,-0.9321,364590
4000,0.0320,0.0295,0.8480,8.6,-0.9359,469995
5000,0.0410,0.0318,0.8100,8.6,-0.9180,571439
6000,0.0670,0.0377,0.7720,8.7,-0.8665,673317
7000,0.0660,0.0417,0.7340,8.8,-0.8682,769125
8000,0.0750,0.0459,0.6960,8.8,-0.8499,860990
9000,0.0740,0.0490,0.6580,8.9,-0.8521,949978
10000,0.1280,0.0569,0.6200,8.9,-0.7433,1040201
11000,0.1190,0.0625,0.5820,9.3,-0.7625,1124397
12000,0.1480,0.0698,0.5440,9.3,-0.7038,1207683
13000,0.1560,0.0765,0.5060,9.3,-0.6883,1289009
14000,0.1770,0.0836,0.4680,9.2,-0.6457,1368639
15000,0.1980,0.0913,0.4300,9.2,-0.6038,1445194
16000,0.2030,0.0983,0.3920,9.3,-0.5947,1521610
17000,0.2360,0.1065,0.3540,9.4,-0.5278,1595076
18000,0.2650,0.1153,0.3160,9.4,-0.4700,1667640
19000,0.3050,0.1253,0.2780,9.3,-0.3900,1738230
20000,0.3290,0.1354,0.2400,9.3,-0.3415,1807952
21000,0.3410,0.1452,0.2020,9.2,-0.3185,1874020
22000,0.3800,0.1559,0.1640,9.3,-0.2399,1938612
23000,0.3960,0.1663,0.1260,9.3,-0.2074,2002301
24000,0.4420,0.1778,0.0880,9.4,-0.1162,2063617
25000,0.4890,0.1903,0.0500,9.5,-0.0220,2125343
26000,0.5000,0.2022,0.0500,9.2,-0.0004,2183817
27000,0.4850,0.2128,0.0500,9.3,-0.0299,2242541
28000,0.4590,0.2216,0.0500,9.2,-0.0820,2299797
29000,0.4650,0.2300,0.0500,9.1,-0.0696,2358279
30000,0.4670,0.2379,0.0500,9.1,-0.0667,2415814
31000,0.4860,0.2460,0.0500,9.1,-0.0281,2475647
32000,0.4640,0.2528,0.0500,9.1,-0.0720,2531735
33000,0.4700,0.2594,0.0500,9.1,-0.0603,2585586
34000,0.4430,0.2649,0.0500,9.1,-0.1141,2641628
35000,0.4850,0.2711,0.0500,9.0,-0.0293,2696922
36000,0.4920,0.2772,0.0500,9.1,-0.0161,2751705
37000,0.4680,0.2824,0.0500,9.1,-0.0638,2806799
38000,0.4740,0.2875,0.0500,9.1,-0.0521,2860827
39000,0.4710,0.2922,0.0500,9.0,-0.0584,2914165
40000,0.4820,0.2970,0.0500,9.0,-0.0353,2968014
41000,0.4730,0.3013,0.0500,8.9,-0.0541,3021274
42000,0.4670,0.3052,0.0500,9.0,-0.0657,3073535
43000,0.5080,0.3100,0.0500,9.0,0.0159,3127725
44000,0.4990,0.3142,0.0500,9.0,-0.0027,3180714
45000,0.4850,0.3181,0.0500,9.0,-0.0298,3232369
46000,0.4670,0.3213,0.0500,8.9,-0.0664,3284278
47000,0.4780,0.3247,0.0500,9.0,-0.0443,3336423
48000,0.4590,0.3275,0.0500,9.0,-0.0813,3387125
49000,0.4860,0.3308,0.0500,9.0,-0.0282,3438171
50000,0.4940,0.3340,0.0500,9.0,-0.0123,3488929
