Battles,RollingWin,OverallWin,Epsilon,Speed,AvgReward,TableSize
1000,0.1930,0.1940,0.9620,6.0,-0.6142,88730
2000,0.2150,0.2050,0.9240,6.1,-0.5701,147621
3000,0.2660,0.2253,0.8860,6.1,-0.4683,196360
4000,0.2710,0.2367,0.8480,6.1,-0.4571,239627
5000,0.2830,0.2462,0.8100,6.1,-0.4348,278957
6000,0.2940,0.2543,0.7720,6.3,-0.4121,314893
7000,0.3170,0.2634,0.7340,6.2,-0.3661,347889
8000,0.3380,0.2730,0.6960,6.2,-0.3240,380206
9000,0.3480,0.2813,0.6580,6.2,-0.3041,410662
10000,0.3580,0.2891,0.6200,6.1,-0.2838,439465
11000,0.3560,0.2954,0.5820,6.0,-0.2884,466656
12000,0.3660,0.3013,0.5440,5.9,-0.2683,493944
13000,0.3910,0.3082,0.5060,5.9,-0.2176,519967
14000,0.3850,0.3138,0.4680,5.9,-0.2302,544714
15000,0.4330,0.3217,0.4300,5.9,-0.1339,568298
16000,0.4480,0.3299,0.3920,5.7,-0.1045,590715
17000,0.4190,0.3351,0.3540,5.7,-0.1621,613680
18000,0.4770,0.3431,0.3160,5.7,-0.0460,635055
19000,0.4670,0.3496,0.2780,5.7,-0.0659,654941
20000,0.4810,0.3562,0.2400,5.7,-0.0377,674247
21000,0.5060,0.3634,0.2020,5.6,0.0126,693414
22000,0.5110,0.3701,0.1640,5.6,0.0211,712146
23000,0.4950,0.3756,0.1260,5.7,-0.0102,728554
24000,0.5280,0.3820,0.0880,5.7,0.0564,745920
25000,0.5100,0.3872,0.0500,5.7,0.0200,764016
26000,0.5280,0.3927,0.0500,5.5,0.0558,781062
27000,0.5440,0.3983,0.0500,5.6,0.0877,797128
28000,0.5060,0.4022,0.0500,5.6,0.0121,812342
29000,0.5360,0.4068,0.0500,5.6,0.0725,828470
30000,0.5000,0.4099,0.0500,5.6,0.0000,843555
31000,0.4630,0.4117,0.0500,5.6,-0.0739,858308
32000,0.4990,0.4145,0.0500,5.6,-0.0018,873698
33000,0.4990,0.4171,0.0500,5.5,-0.0022,888756
34000,0.4820,0.4190,0.0500,5.6,-0.0362,903276
35000,0.4770,0.4207,0.0500,5.6,-0.0460,917539
36000,0.4980,0.4229,0.0500,5.4,-0.0044,933417
37000,0.4950,0.4248,0.0500,5.5,-0.0097,947212
38000,0.4840,0.4264,0.0500,5.6,-0.0322,960366
39000,0.5210,0.4289,0.0500,5.6,0.0423,973883
40000,0.4860,0.4304,0.0500,5.7,-0.0280,987037
41000,0.5040,0.4323,0.0500,5.6,0.0083,1001084
42000,0.4830,0.4335,0.0500,5.7,-0.0342,1014677
43000,0.4800,0.4346,0.0500,5.7,-0.0401,1027291
44000,0.4820,0.4357,0.0500,5.8,-0.0360,1039991
45000,0.4870,0.4368,0.0500,5.8,-0.0261,1053039
46000,0.4940,0.4381,0.0500,5.8,-0.0118,1065875
47000,0.5140,0.4397,0.0500,5.8,0.0279,1079437
48000,0.5140,0.4413,0.0500,5.8,0.0274,1091545
49000,0.4940,0.4424,0.0500,5.9,-0.0113,1104150
50000,0.4690,0.4429,0.0500,5.9,-0.0628,1115927
