Battles,RollingWin,OverallWin,Epsilon,Speed,AvgReward,TableSize
1000,0.0280,0.0280,0.0500,6.7,-0.9448,32896
2000,0.0270,0.0275,0.0500,6.6,-0.9458,65102
3000,0.0400,0.0317,0.0500,6.5,-0.9199,97182
4000,0.0330,0.0323,0.0500,6.5,-0.9344,128481
5000,0.0260,0.0310,0.0500,6.4,-0.9478,158774
6000,0.0350,0.0317,0.0500,6.3,-0.9306,189644
7000,0.0310,0.0316,0.0500,6.3,-0.9378,219966
8000,0.0380,0.0324,0.0500,6.4,-0.9243,249144
9000,0.0350,0.0327,0.0500,6.4,-0.9300,277328
10000,0.0330,0.0327,0.0500,6.4,-0.9339,306293
11000,0.0270,0.0322,0.0500,6.4,-0.9466,334305
12000,0.0300,0.0320,0.0500,6.5,-0.9400,362344
13000,0.0270,0.0316,0.0500,6.4,-0.9459,390509
14000,0.0320,0.0316,0.0500,6.4,-0.9361,417750
15000,0.0270,0.0313,0.0500,6.4,-0.9455,444941
16000,0.0410,0.0319,0.0500,6.5,-0.9186,472103
17000,0.0300,0.0318,0.0500,6.6,-0.9394,499237
18000,0.0390,0.0322,0.0500,6.6,-0.9220,525668
19000,0.0300,0.0321,0.0500,6.6,-0.9400,552360
20000,0.0450,0.0328,0.0500,6.6,-0.9100,578814
21000,0.0410,0.0332,0.0500,6.4,-0.9187,605098
22000,0.0280,0.0330,0.0500,6.4,-0.9440,631128
23000,0.0320,0.0329,0.0500,6.4,-0.9361,656800
24000,0.0430,0.0333,0.0500,6.4,-0.9137,682374
25000,0.0340,0.0334,0.0500,6.4,-0.9324,707859
26000,0.0310,0.0333,0.0500,6.5,-0.9383,733511
27000,0.0380,0.0335,0.0500,6.5,-0.9245,758995
28000,0.0390,0.0337,0.0500,6.5,-0.9218,784051
29000,0.0390,0.0339,0.0500,6.4,-0.9220,809142
30000,0.0410,0.0341,0.0500,6.4,-0.9181,834301
31000,0.0320,0.0340,0.0500,6.3,-0.9367,859588
32000,0.0430,0.0343,0.0500,6.1,-0.9139,885122
33000,0.0480,0.0347,0.0500,6.2,-0.9040,909980
34000,0.0470,0.0351,0.0500,6.2,-0.9062,934336
35000,0.0410,0.0353,0.0500,6.2,-0.9179,958436
36000,0.0420,0.0355,0.0500,6.4,-0.9167,982997
37000,0.0450,0.0358,0.0500,6.4,-0.9099,1007218
38000,0.0390,0.0358,0.0500,6.4,-0.9220,1031949
39000,0.0370,0.0359,0.0500,6.3,-0.9259,1056612
40000,0.0370,0.0359,0.0500,6.3,-0.9258,1080556
41000,0.0430,0.0361,0.0500,6.2,-0.9147,1104232
42000,0.0420,0.0362,0.0500,6.3,-0.9156,1128204
43000,0.0370,0.0363,0.0500,6.3,-0.9263,1152037
44000,0.0330,0.0362,0.0500,6.2,-0.9339,1176040
45000,0.0480,0.0364,0.0500,6.2,-0.9043,1199637
46000,0.0440,0.0366,0.0500,6.1,-0.9126,1223624
47000,0.0430,0.0367,0.0500,6.1,-0.9139,1247606
48000,0.0390,0.0367,0.0500,6.2,-0.9220,1271251
49000,0.0330,0.0367,0.0500,6.2,-0.9340,1294242
50000,0.0420,0.0368,0.0500,6.2,-0.9160,1317281
