combo_id,alpha,gamma,lam,final_Flat_ZeroInit,best_Flat_ZeroInit,final_Flat_SmartInit,best_Flat_SmartInit,final_Hier_ZeroInit,best_Hier_ZeroInit,final_Hier_SmartInit,best_Hier_SmartInit,final_Flat_ZeroInit_FixedEps,best_Flat_ZeroInit_FixedEps,final_Flat_SmartInit_FixedEps,best_Flat_SmartInit_FixedEps,final_Hier_ZeroInit_FixedEps,best_Hier_ZeroInit_FixedEps,final_Hier_SmartInit_FixedEps,best_Hier_SmartInit_FixedEps,runs_done,avg_final,avg_best
hp_001,0.1,0.99,0.7,0.10779999999999998,0.1173,0.5143999999999999,0.5472999999999999,0.4972,0.5296000000000001,0.5825000000000001,0.6144,0.10629999999999998,0.11749999999999998,0.5260999999999999,0.5546,0.48840000000000006,0.5037999999999999,0.5979,0.6262000000000001,10,0.427575,0.45133749999999995
hp_003,0.1,0.999,0.7,0.1041,0.11259999999999999,0.5207,0.5458000000000001,0.4958,0.5186999999999999,0.5727,0.6112,0.1048,0.11259999999999999,0.5233000000000001,0.5573,0.479,0.5028999999999999,0.5884,0.6239,10,0.42360000000000003,0.448125
hp_005,0.2,0.99,0.7,0.1001,0.1091,0.4871,0.5189,0.4197,0.4598999999999999,0.4986,0.5336000000000001,0.09819999999999998,0.11199999999999996,0.4891,0.5283,0.41530000000000006,0.4404,0.5189999999999999,0.5581,10,0.3783875,0.4075375
hp_007,0.2,0.999,0.7,0.0973,0.11189999999999997,0.48739999999999994,0.5212999999999999,0.4109,0.44539999999999996,0.48450000000000004,0.5307999999999999,0.09209999999999999,0.10779999999999998,0.48580000000000007,0.5295,0.3966,0.42989999999999995,0.5069,0.5478000000000001,10,0.3701875,0.40304999999999996
hp_002,0.1,0.99,0.9,0.061999999999999986,0.0774,0.4544,0.5032,0.39970000000000006,0.43089999999999995,0.4774000000000001,0.5326000000000001,0.058699999999999995,0.07300000000000001,0.4413,0.4981,0.35619999999999996,0.3899,0.4854000000000001,0.5233000000000001,10,0.34188750000000007,0.37854999999999994
hp_004,0.1,0.999,0.9,0.0627,0.07370000000000002,0.4516000000000001,0.495,0.376,0.4111000000000001,0.465,0.5253,0.0613,0.0755,0.4403,0.4992000000000001,0.3363999999999999,0.3681,0.4713,0.5109,10,0.33307499999999995,0.36985
hp_006,0.2,0.99,0.9,0.0644,0.07720000000000002,0.4163,0.46799999999999997,0.3183,0.3563,0.38820000000000005,0.45039999999999997,0.0607,0.0759,0.42590000000000006,0.4817,0.29700000000000004,0.33009999999999995,0.3986,0.45010000000000006,10,0.296175,0.33621249999999997
hp_008,0.2,0.999,0.9,0.0631,0.076,0.4133,0.46560000000000007,0.30199999999999994,0.3422,0.3726999999999999,0.43289999999999995,0.06720000000000001,0.07620000000000002,0.40679999999999994,0.48020000000000007,0.2737,0.31010000000000004,0.38509999999999994,0.4351999999999999,10,0.28548749999999995,0.32730000000000004
