Battles,RollingWin,OverallWin,Epsilon,Speed,AvgReward,TableSize
1000,0.0190,0.0200,0.9620,8.8,-0.9626,134889
2000,0.0250,0.0230,0.9240,8.9,-0.9501,255615
3000,0.0290,0.0250,0.8860,8.9,-0.9419,368601
4000,0.0390,0.0285,0.8480,9.0,-0.9220,474554
5000,0.0350,0.0298,0.8100,9.0,-0.9297,577049
6000,0.0660,0.0358,0.7720,9.1,-0.8685,675961
7000,0.0570,0.0389,0.7340,9.2,-0.8861,772115
8000,0.0870,0.0449,0.6960,9.1,-0.8258,865126
9000,0.0870,0.0496,0.6580,9.3,-0.8262,953704
10000,0.1000,0.0546,0.6200,9.3,-0.7993,1039787
11000,0.1320,0.0616,0.5820,9.5,-0.7366,1122172
12000,0.1400,0.0682,0.5440,9.5,-0.7199,1203471
13000,0.1590,0.0752,0.5060,9.5,-0.6821,1285500
14000,0.1630,0.0815,0.4680,9.5,-0.6738,1364692
15000,0.2290,0.0913,0.4300,9.5,-0.5422,1440074
16000,0.2310,0.1001,0.3920,9.5,-0.5381,1515367
17000,0.2510,0.1089,0.3540,9.7,-0.4976,1587070
18000,0.2650,0.1176,0.3160,9.7,-0.4705,1656624
19000,0.2820,0.1263,0.2780,9.7,-0.4361,1724730
20000,0.3490,0.1374,0.2400,9.7,-0.3022,1792417
21000,0.3940,0.1497,0.2020,9.9,-0.2126,1856767
22000,0.3960,0.1609,0.1640,9.9,-0.2082,1919135
23000,0.4150,0.1720,0.1260,9.9,-0.1697,1977641
24000,0.4600,0.1840,0.0880,9.9,-0.0800,2035770
25000,0.5040,0.1968,0.0500,9.8,0.0081,2093511
26000,0.5150,0.2091,0.0500,9.7,0.0297,2147863
27000,0.5030,0.2200,0.0500,9.7,0.0064,2203395
28000,0.5070,0.2303,0.0500,9.7,0.0139,2257734
29000,0.4830,0.2390,0.0500,9.8,-0.0341,2310937
30000,0.5170,0.2483,0.0500,9.8,0.0339,2364108
31000,0.5020,0.2565,0.0500,9.4,0.0039,2417759
32000,0.4940,0.2639,0.0500,9.5,-0.0119,2470996
33000,0.5260,0.2719,0.0500,9.6,0.0518,2519816
34000,0.5350,0.2796,0.0500,9.7,0.0698,2570438
35000,0.5180,0.2864,0.0500,9.7,0.0361,2622464
36000,0.5300,0.2932,0.0500,9.6,0.0598,2672865
37000,0.5190,0.2994,0.0500,9.6,0.0385,2722798
38000,0.5020,0.3047,0.0500,9.7,0.0034,2772832
39000,0.5150,0.3101,0.0500,9.8,0.0298,2823126
40000,0.5290,0.3156,0.0500,9.8,0.0581,2872431
41000,0.5540,0.3214,0.0500,9.7,0.1081,2922833
42000,0.5090,0.3259,0.0500,9.6,0.0180,2971901
43000,0.5180,0.3304,0.0500,9.6,0.0356,3022604
44000,0.5340,0.3350,0.0500,9.5,0.0680,3070460
45000,0.5350,0.3395,0.0500,9.5,0.0700,3119043
46000,0.5230,0.3435,0.0500,9.6,0.0457,3169656
47000,0.5500,0.3480,0.0500,9.6,0.0996,3218633
48000,0.5140,0.3515,0.0500,9.7,0.0290,3266553
49000,0.5320,0.3551,0.0500,9.7,0.0639,3315880
50000,0.5450,0.3590,0.0500,9.6,0.0895,3362710
