Battles,RollingWin,OverallWin,Epsilon,Speed,AvgReward,TableSize
1000,0.0720,0.0720,0.9620,11.6,-0.8567,22797
2000,0.0830,0.0775,0.9240,11.6,-0.8339,39655
3000,0.0910,0.0820,0.8860,11.6,-0.8181,54107
4000,0.0730,0.0798,0.8480,11.5,-0.8537,67558
5000,0.0780,0.0794,0.8100,11.5,-0.8439,79908
6000,0.0880,0.0808,0.7720,11.4,-0.8246,91570
7000,0.1240,0.0870,0.7340,11.4,-0.7520,102664
8000,0.1230,0.0915,0.6960,11.3,-0.7539,113132
9000,0.1190,0.0946,0.6580,11.2,-0.7618,122802
10000,0.1520,0.1003,0.6200,11.2,-0.6960,132214
11000,0.1470,0.1045,0.5820,11.5,-0.7066,141080
12000,0.1660,0.1098,0.5440,11.4,-0.6678,149842
13000,0.1790,0.1151,0.5060,11.4,-0.6421,158187
14000,0.1900,0.1205,0.4680,11.2,-0.6199,166204
15000,0.1760,0.1242,0.4300,11.1,-0.6480,174196
16000,0.1910,0.1284,0.3920,10.7,-0.6185,182083
17000,0.2410,0.1351,0.3540,10.6,-0.5182,189554
18000,0.2620,0.1422,0.3160,10.5,-0.4757,196796
19000,0.2680,0.1488,0.2780,10.5,-0.4641,204215
20000,0.2910,0.1560,0.2400,10.5,-0.4178,210965
21000,0.3220,0.1640,0.2020,10.2,-0.3565,217528
22000,0.3490,0.1724,0.1640,10.1,-0.3016,223805
23000,0.3400,0.1797,0.1260,10.2,-0.3204,229963
24000,0.3940,0.1887,0.0880,10.2,-0.2119,235364
25000,0.4230,0.1981,0.0500,10.2,-0.1535,241013
26000,0.3840,0.2052,0.0500,10.0,-0.2322,246518
27000,0.4210,0.2133,0.0500,10.0,-0.1582,251705
28000,0.4120,0.2204,0.0500,9.9,-0.1758,256971
29000,0.3960,0.2264,0.0500,10.0,-0.2077,261912
30000,0.3970,0.2321,0.0500,10.0,-0.2065,267087
31000,0.4050,0.2377,0.0500,10.2,-0.1896,271961
32000,0.4170,0.2434,0.0500,9.9,-0.1669,277102
33000,0.4230,0.2489,0.0500,10.0,-0.1535,281881
34000,0.4100,0.2536,0.0500,10.0,-0.1803,286246
35000,0.4040,0.2579,0.0500,9.9,-0.1915,290884
36000,0.4190,0.2624,0.0500,9.9,-0.1622,295503
37000,0.3820,0.2657,0.0500,9.8,-0.2364,299827
38000,0.4150,0.2696,0.0500,9.8,-0.1698,304214
39000,0.4130,0.2733,0.0500,10.0,-0.1740,308159
40000,0.3920,0.2763,0.0500,10.0,-0.2152,312388
41000,0.3930,0.2791,0.0500,10.0,-0.2139,316375
42000,0.4050,0.2822,0.0500,9.9,-0.1906,320602
43000,0.4090,0.2851,0.0500,10.0,-0.1821,324606
44000,0.3950,0.2876,0.0500,10.0,-0.2097,328494
45000,0.4240,0.2907,0.0500,10.0,-0.1521,332471
46000,0.4230,0.2936,0.0500,10.0,-0.1544,336512
47000,0.4190,0.2963,0.0500,10.0,-0.1622,340188
48000,0.4230,0.2990,0.0500,10.0,-0.1534,343924
49000,0.4010,0.3011,0.0500,10.0,-0.1980,347704
50000,0.4300,0.3036,0.0500,10.0,-0.1400,351504
