Battles,RollingWin,OverallWin,Epsilon,Speed,AvgReward,TableSize
1000,0.0190,0.0190,0.9620,7.3,-0.9627,159601
2000,0.0430,0.0310,0.9240,7.3,-0.9136,306318
3000,0.0400,0.0340,0.8860,7.3,-0.9203,444138
4000,0.0390,0.0352,0.8480,7.4,-0.9220,576624
5000,0.0680,0.0418,0.8100,7.5,-0.8640,705766
6000,0.0760,0.0475,0.7720,7.9,-0.8487,831400
7000,0.0940,0.0543,0.7340,7.8,-0.8119,955322
8000,0.1210,0.0626,0.6960,7.8,-0.7578,1073439
9000,0.1130,0.0683,0.6580,7.8,-0.7742,1189606
10000,0.1540,0.0770,0.6200,7.8,-0.6919,1303684
11000,0.1760,0.0860,0.5820,8.2,-0.6484,1415547
12000,0.1870,0.0946,0.5440,8.2,-0.6258,1525439
13000,0.2010,0.1028,0.5060,8.1,-0.5981,1632456
14000,0.2210,0.1112,0.4680,8.2,-0.5582,1736932
15000,0.2630,0.1213,0.4300,8.2,-0.4738,1841081
16000,0.2880,0.1318,0.3920,8.4,-0.4244,1941532
17000,0.3110,0.1424,0.3540,8.4,-0.3778,2039266
18000,0.3440,0.1536,0.3160,8.3,-0.3124,2135524
19000,0.3760,0.1653,0.2780,8.4,-0.2477,2229571
20000,0.3770,0.1759,0.2400,8.4,-0.2461,2321812
21000,0.3930,0.1862,0.2020,8.3,-0.2139,2411123
22000,0.4480,0.1982,0.1640,8.4,-0.1042,2498815
23000,0.4730,0.2101,0.1260,8.4,-0.0541,2582622
24000,0.4540,0.2203,0.0880,8.4,-0.0924,2665291
25000,0.5100,0.2319,0.0500,8.4,0.0201,2744417
26000,0.5200,0.2430,0.0500,8.3,0.0399,2821387
27000,0.5030,0.2527,0.0500,8.5,0.0061,2895804
28000,0.5280,0.2625,0.0500,8.4,0.0559,2972118
29000,0.5330,0.2719,0.0500,8.5,0.0658,3046814
30000,0.5090,0.2798,0.0500,8.5,0.0181,3120750
31000,0.5150,0.2875,0.0500,8.1,0.0294,3193864
32000,0.5070,0.2943,0.0500,8.2,0.0143,3267836
33000,0.5200,0.3012,0.0500,8.2,0.0405,3339373
34000,0.4930,0.3069,0.0500,8.3,-0.0146,3410084
35000,0.5480,0.3138,0.0500,8.3,0.0962,3481915
36000,0.5350,0.3199,0.0500,8.3,0.0695,3553353
37000,0.5370,0.3258,0.0500,8.5,0.0745,3623584
38000,0.5110,0.3307,0.0500,8.6,0.0220,3694207
39000,0.5300,0.3359,0.0500,8.7,0.0600,3763274
40000,0.5360,0.3409,0.0500,8.6,0.0720,3833876
41000,0.5430,0.3458,0.0500,8.1,0.0859,3903053
42000,0.5180,0.3500,0.0500,8.1,0.0357,3972881
43000,0.5210,0.3540,0.0500,8.2,0.0423,4040830
44000,0.5340,0.3581,0.0500,8.2,0.0681,4109154
45000,0.5050,0.3614,0.0500,8.2,0.0096,4175918
46000,0.5360,0.3652,0.0500,7.9,0.0720,4244228
47000,0.5040,0.3682,0.0500,8.0,0.0078,4312915
48000,0.5000,0.3710,0.0500,7.9,-0.0002,4381730
49000,0.5170,0.3740,0.0500,8.0,0.0341,4447847
50000,0.4980,0.3765,0.0500,8.0,-0.0044,4515539
