Battles,RollingWin,OverallWin,Epsilon,Speed,AvgReward,TableSize
1000,0.0790,0.0790,0.9620,7.3,-0.8426,134503
2000,0.0770,0.0780,0.9240,7.3,-0.8457,253810
3000,0.0890,0.0817,0.8860,7.3,-0.8221,364350
4000,0.1250,0.0925,0.8480,7.4,-0.7500,468037
5000,0.1210,0.0982,0.8100,7.5,-0.7578,565734
6000,0.1370,0.1047,0.7720,8.0,-0.7268,660914
7000,0.1600,0.1129,0.7340,8.0,-0.6795,754904
8000,0.1360,0.1158,0.6960,8.0,-0.7277,845589
9000,0.1830,0.1232,0.6580,7.9,-0.6345,932457
10000,0.1920,0.1301,0.6200,7.9,-0.6160,1018308
11000,0.1930,0.1359,0.5820,8.1,-0.6143,1103352
12000,0.2360,0.1443,0.5440,8.3,-0.5282,1186711
13000,0.2540,0.1528,0.5060,8.3,-0.4920,1270269
14000,0.2630,0.1606,0.4680,8.4,-0.4742,1349038
15000,0.2940,0.1695,0.4300,8.4,-0.4115,1427707
16000,0.3280,0.1794,0.3920,8.5,-0.3446,1503675
17000,0.3430,0.1891,0.3540,8.5,-0.3136,1578824
18000,0.3880,0.2002,0.3160,8.6,-0.2242,1651237
19000,0.3880,0.2101,0.2780,8.6,-0.2239,1723357
20000,0.3920,0.2192,0.2400,8.6,-0.2159,1793690
21000,0.4530,0.2304,0.2020,8.7,-0.0941,1862508
22000,0.4700,0.2413,0.1640,8.6,-0.0597,1928630
23000,0.5140,0.2532,0.1260,8.6,0.0280,1993895
24000,0.5250,0.2645,0.0880,8.7,0.0495,2056405
25000,0.5980,0.2779,0.0500,8.7,0.1960,2117315
26000,0.5590,0.2888,0.0500,8.4,0.1177,2176840
27000,0.5980,0.3003,0.0500,8.3,0.1957,2235557
28000,0.5780,0.3103,0.0500,8.3,0.1563,2294932
29000,0.6000,0.3203,0.0500,8.4,0.2006,2353325
30000,0.5840,0.3291,0.0500,8.3,0.1677,2412129
31000,0.6240,0.3387,0.0500,8.3,0.2481,2467083
32000,0.6290,0.3478,0.0500,8.4,0.2577,2523550
33000,0.5780,0.3548,0.0500,8.4,0.1563,2578722
34000,0.6190,0.3626,0.0500,8.4,0.2379,2630952
35000,0.6190,0.3699,0.0500,8.4,0.2381,2686307
36000,0.6190,0.3769,0.0500,8.3,0.2376,2742068
37000,0.6180,0.3835,0.0500,8.3,0.2363,2795189
38000,0.6400,0.3903,0.0500,8.3,0.2797,2848313
39000,0.6490,0.3969,0.0500,8.3,0.2979,2899905
40000,0.6280,0.4027,0.0500,8.3,0.2558,2953476
41000,0.6360,0.4084,0.0500,8.1,0.2716,3005367
42000,0.6270,0.4136,0.0500,8.2,0.2544,3057394
43000,0.6130,0.4183,0.0500,8.2,0.2259,3110488
44000,0.6560,0.4237,0.0500,8.3,0.3120,3162262
45000,0.6380,0.4285,0.0500,8.3,0.2756,3214383
46000,0.6310,0.4330,0.0500,8.0,0.2623,3266751
47000,0.6700,0.4380,0.0500,8.2,0.3402,3318679
48000,0.6300,0.4420,0.0500,8.3,0.2593,3369641
49000,0.6360,0.4460,0.0500,8.3,0.2723,3419769
50000,0.6350,0.4498,0.0500,8.3,0.2701,3468484
