Battles,RollingWin,OverallWin,Epsilon,Speed,AvgReward,TableSize
1000,0.0690,0.0690,0.9620,7.3,-0.8625,35195
2000,0.0850,0.0770,0.9240,7.2,-0.8302,64249
3000,0.0880,0.0807,0.8860,7.1,-0.8238,89771
4000,0.0960,0.0845,0.8480,7.2,-0.8079,112479
5000,0.1000,0.0876,0.8100,7.1,-0.8001,134279
6000,0.1070,0.0908,0.7720,7.3,-0.7867,154369
7000,0.1160,0.0944,0.7340,7.2,-0.7677,173976
8000,0.1320,0.0991,0.6960,7.1,-0.7361,192699
9000,0.1210,0.1016,0.6580,7.1,-0.7580,209758
10000,0.1330,0.1047,0.6200,7.1,-0.7341,226606
11000,0.1420,0.1081,0.5820,6.9,-0.7162,242870
12000,0.1320,0.1101,0.5440,6.9,-0.7359,259113
13000,0.1800,0.1155,0.5060,6.9,-0.6406,273835
14000,0.1660,0.1191,0.4680,6.9,-0.6678,288811
15000,0.1720,0.1226,0.4300,6.8,-0.6561,303255
16000,0.2020,0.1276,0.3920,6.7,-0.5965,317647
17000,0.2010,0.1319,0.3540,6.7,-0.5977,331301
18000,0.1850,0.1348,0.3160,6.6,-0.6301,345027
19000,0.2080,0.1387,0.2780,6.5,-0.5842,358303
20000,0.2480,0.1442,0.2400,6.5,-0.5037,371186
21000,0.2360,0.1486,0.2020,6.3,-0.5284,383614
22000,0.2400,0.1528,0.1640,6.2,-0.5199,395377
23000,0.2770,0.1582,0.1260,6.2,-0.4459,407214
24000,0.2920,0.1638,0.0880,6.1,-0.4163,419216
25000,0.2890,0.1688,0.0500,6.0,-0.4220,430644
26000,0.2750,0.1729,0.0500,6.2,-0.4504,441404
27000,0.2910,0.1774,0.0500,6.2,-0.4178,451776
28000,0.2710,0.1807,0.0500,6.3,-0.4582,462350
29000,0.2750,0.1840,0.0500,6.2,-0.4499,472695
30000,0.3010,0.1879,0.0500,6.2,-0.3982,483152
31000,0.2790,0.1908,0.0500,6.3,-0.4423,493140
32000,0.2880,0.1939,0.0500,6.4,-0.4239,502824
33000,0.2870,0.1967,0.0500,6.4,-0.4264,512512
34000,0.3030,0.1999,0.0500,6.3,-0.3931,522345
35000,0.2860,0.2023,0.0500,6.3,-0.4287,531383
36000,0.3060,0.2052,0.0500,6.5,-0.3884,540458
37000,0.2930,0.2075,0.0500,6.7,-0.4142,549563
38000,0.2960,0.2099,0.0500,6.6,-0.4076,558450
39000,0.2780,0.2116,0.0500,6.6,-0.4443,567642
40000,0.2770,0.2133,0.0500,6.5,-0.4458,576656
41000,0.3210,0.2160,0.0500,6.5,-0.3581,585388
42000,0.3160,0.2184,0.0500,6.5,-0.3685,594240
43000,0.2990,0.2203,0.0500,6.5,-0.4014,602768
44000,0.2930,0.2219,0.0500,6.6,-0.4144,611007
45000,0.3180,0.2241,0.0500,6.5,-0.3640,619179
46000,0.2940,0.2256,0.0500,6.5,-0.4120,627312
47000,0.2820,0.2268,0.0500,6.6,-0.4362,635170
48000,0.3180,0.2288,0.0500,6.5,-0.3638,643534
49000,0.2840,0.2299,0.0500,6.6,-0.4325,651203
50000,0.2780,0.2309,0.0500,6.6,-0.4439,658686
